F,Titulo,Gênero,Classificacao,Plataforma,Duracao media dos Episodios,Quant. Temporadas,Episódios por temporada
50,The office,Comedia,12,Prime video,23,9,6 22 25 19 28 26 27 24 27
51,Twin Peaks,Misterio,14,Prime video,45,3,8 22 18
52,Black Mirror,Ficcao Cientifica,18,Netflix,59,5,3 6 6 4 3
53,House MD,Drama Medico,14,HBO max,49,8,22 24 24 16 24 21 23 22
54,My Mad Fat Diary,Comedia,16,Prime Video,45,3,6 7 3
55,How I Met Your Mother,Comedia,12,Star Plus,23,9,22 22 20 24 24 24 24 24 24
56,Always Sunny In Philadelpiha,Comedia,16,Hulu,25,15,7 10 15 13 12 14 13 10 10 10 10 10 10 10 8
57,Vikings,Drama,16,Netflix,50,6,9 10 10 20 20 20
58,Lucifer,Misterio,14,Netflix,43,6,13 18 26 10 16 10
59,Stranger Things,terror,16,Netflix,50,4,8 9 8 9
60,Ted lasso,Comedia,14,Apple tv,55,3,10 12 8
61,Orange is the new black,drama,16,Netflix,57,7,13 13 13 13 13 13 13
62,Planeta Sheen,Comedia,0,Pluto TV,24,1,26
63,teen wolf,Fantasia,16,Netflix,40,6,12 12 24 12 20 20
64,the 100,Ficcao Cientifica,16,Netflix,41,7,13 16 16 13 13 13 16
65,Comunnity,Sitcom,12,Netflix,21,6,25 23 22 13 13 13
66,The Midnight Gospel,Fantasia Cientifica,18,Netflix,30,1,8
67,Dahmer: Um Canibal Americano,Documentario,18,Netflix,55,1,10
68,Wanda vision,Sitcom,14,Disney+,39,1,9
69,Arrow,Drama,16,Netflix,42,8,23 23 23 23 23 23 22 10
70,Clark,Acao,16,Netflix,61,1,6
71,30 Moedas,Terror,18,HBO Max,50,1,8
72,American Horror Story,Terror,18,Star Plus,60,11,12 13 13 13 12 10 11 10 9 10 10
73,All os Us Are Dead,Terror,18,Netflix,53,1,12
74,Skam Noruega,Drama,16,NRK TV,37,4,11 12 10 10
75,Jimmy Neutron,Comedia,0,Paramount+,24,3,20 20 19
76,Loki,Fantasia,12,Disney Plus,50,1,6
77,Todo mundo odeia o chris,Comedia,10,Prime Video,20,4,22 22 22 22
78,The Sopranos,Crime Drama,16,HBO max,50,6,13 13 13 13 13 21
79,Friends,Comedia/Romance,12,HBO Max,25,10,24 24 25 24 24 25 24 24 24 18
80,Nathan for You,Comedia,16,Prime Video,30,4,8 8 8 7
81,Rick and Morty,Comedia,16,HBO Max,30,6,11 10 10 10 10 10
82,Bridgerton,Drama,16,Netflix,60,2,8 8
83,KND - A Turma do Bairro,Comedia,0,HBO Max,23,6,13 13 13 13 13 13
84,As Aventuras de Jackie Chan,Acao,0,Pluto TV,30,5,13 39 17 13 13
85,Night Stalker,Terror,18,Netflix,47,1,4
86,Dois homens e meio,Comedia,12,Prime Video,22,12,24 24 24 24 19 24 22 16 24 23 22 16
87,The Crown,Drama,14,Netflix,60,5,10 10 10 10 10
88,Arcane,Acao,14,Netflix,40,1,9
89,Resident Evil: No Escuro Absoluto,Fantasia,16,Netflix,27,1,4
90,1899,Terror,16,Netflix,50,1,8
91,RWBY,Acao,12,Crunchyroll,26,9,16 12 12 12 14 13 13 14 10
92,Suits,Drama,14,Netflix,40,9,12 16 16 16 16 16 16 16 10
93,Under the Dome,Misterio ,14,Paramount Plus,43,3,13 13 13
94,Carnival Row,Suspense / Fantasia,16,Prime Video,55,2,8 10
95,Super Onze,Infantil,0,Prime video,20,1,78
96,Treta,Comedia,18,Netflix,30,1,10
97,Como vender drogas online,Humor,16,Netflix,33,3,6
98,Chicago Fire,Drama / Acao,16,Prime Video,40,8,24 22 24 23 22 23 22 20
99,The Society,Drama,14,Netflix,60,1,10
100,Power Rangers (1993),Acao,0,Netflix,30,3,60 52 43
101,Demolidor,Acao,18,Netflix,54,3,13 13 13
102,The Twilight Zone (1959),Terror,12,Paramount Plus,60,5,36 29 37 18 36
103,Black Summer,Terror,16,Netflix,40,2,8 8
104,Conversando com um serial killer,Documentario,18,Netflix,62,1,3
105,The Terror,Drama,16,Prime Video,43,2,10 10
106,Don't F**k with Cats,Documentario,16,Netflix,62,1,3
107,The Handmaid's Tale,Drama / Suspense,16,Star Plus,60,4,10 13 13 10
108,Hackers,Documentario,12,Prime Video,24,2,10 11
109,F1: Dirigir para viver,Documentario,12,Netflix,40,5,10
110,Kenan e Kel,Comedia,0,Pluto TV,30,4,14 13 22 13
111,Narcos,Drama,16,Netflix,50,3,10 10 10
112,Sintonia,Drama,16,Netflix,40,3,6 6 6
113,LOL: Se rir  ja era,Comedia,14,Prime Video,30,2,6 6 
114,Moradores Indesejados,Documentario,14,Netflix,54,1,5
115,Ozark,Suspense,16,Netflix,60,4,10 10 10 14
116,Procurados - EUA,Documentario,16,Netflix,56,1,3
117,The Purge,Ficcao Cientifica,18,Prime Video,40,2,10 10
118,Como se Tornar um Tirano,Documentario,16,Netflix,27,1,6
119,Znation,Acao,16,Netflix,30,5,13 15 15 13 13
120,Ponto de Virada,Documentario,16,Netflix,61,1,5
121,Jeffrey Epstein: Poder e Perversao,Documentario,18,Netflix,55,1,4
122,Homem-Aranha: Acao Sem Limites,Acao,0,Disney+,22,1,13
123,Na Cola dos Assassinos,Documentario,16,Netflix,35,2,4
124,Neymar: O Caos Perfeito,Documentario,14,Netflix,56,1,3
125,Cosmos (2014),Documentario,0,Disney Plus,60,1,13
126,O homem do castelo alto,Acao,16,Prime Video,60,4,10 10 10 10
127,Como FIcar Rico,Documentario,10,Netflix,33,1,8
128,Mindhunter,Suspense,18,Netflix,50,2,10 9
129,Nosso Planeta,Documentario,10,Netflix,50,1,8
130,A Maldicao da Residência Hill,Terror,16,Netflix,50,1,10
131,Conversando com um serial killer TB,Documentario,16,Netflix,58,1,4
132,Enigma do Universo,Documentario,10,Netflix,42,1,6
133,Tattooed Teenage Alien Fighters from Beverly Hills,Superhero,0,The Pirate Bay,30,1,40
134,Filmes que Marcam epoca,Documentario,18,Netflix,46,3,4 4 8
135,Por dentro das prisões mais severas do mundo,Documentario,16,Netflix,44,6,4 4 44 3 4
136,Gênio Diaólico,Crime Real,16,Netflix,47,1,4
137,Trato Feito,Documentario,10,Prime Video,23,19,25 33 30 38 30 28 34 46 52 47 42 45 29 30 30 20 25 14 13 
138,Revelacões Pre-Históricas,Documentario,12,Netflix,30,1,8
139,Chaves (Animacao),Comedia/Animacao,0,Prime Video,26,7,26 52 26 22 15 13 7
140,Imperio Romano,Documentario,16,Netflix,46,3,6 5 4
141,O Código Bill Gates,Documentario,12,Netflix,52,1,3
142,Corpo Humano: Nosso Mundo Interior,Documentario,12,Netflix,52,1,6
143,Sonic X,Acao,0,Prime Video,30,3,46 6 26
144,Matchday: FC Barcelona,Documentario,14,Netflix,42,1,8
145,Sunderland Ate Morrer,Documentario,12,Netflix,41,2,8 6
146,Filhotes Selvagens,Documentario,10,Netflix,29,1,8
147,Utopia,Suspense,18,Prime Video,50,1,8
148,Abstract: The Art of Design,Documentario,12,Netflix,44,1,8 6
149,Alf  o Eteimoso,Comedia/Sitcom,0,HBO Max,30,4,26 26 26 24
150,Arquivo X,Misterio ,14,Star +,44,11,20
151,Supernatural,Suspense/Acao,14,HBO/Prime Video,44,15,21
152,Sombras e ossos,Fantasia,16,Netflix,44,2,8 8
153,The Big Bang Theory,Comedia,12,HBO Max,22,12,17 23 23 24 24 24 24 24 24 24 24 24
154,How I met your father,Comedia,14,Hulu,30,1,10
155,Seinfeld,Comedia,14,Hulu,22,9,22 24 24 22 22 24 24 22 24
156,Friends Reunion,Comedia,12,HBO Max,45,1,1
157,Two and a Half Men,Comedia,16,Hulu,22,12,24 24 24 24 22 22 16 16 22 22 22 16
158,Modern Family,Comedia,14,Hulu,22,11,24 24 24 24 24 24 24 22 22 22 22
159,New Girl,Comedia,14,Netflix,22,7,24 25 23 22 22 8 8
160,The Mindy Project,Comedia,16,Hulu,16,6,24 22 21 26 13 10
161,The Nanny,Comedia,12,HBO Max,22,6,22 26 26 26 26 22
162,The King of Queens,Comedia,12,Hulu,22,9,25 25 25 25 24 24 20 22 31
163,Parks and Recreation,Comedia,14,Peacock,22,7,6 24 16 22 22 22 13
164,Scrubs,Comedia,14,Hulu,22,9,24 22 22 25 24 22 13 6 12 13
165,Community,Comedia,14,Netflix,22,6,25 24 22 13 13 13
166,It's always sunny in Philadelphia,Comedia,18,Hulu,22,14,7 10 13 12 12 13 12 10 10 10 10 10 10 10 10
167,Drake & Josh,Comedia,7,Paramount +,24,4,6 14 17 19
168,Alienigenas do Passado,Documentario,0,Pluto TV,42,19,5 10 16 10 12 11 8 9 12 10 15 16 15 22 12 14 7 20 10
169,Phineas e Ferb,Comedia,0,Disney +,15,4,26 38 35 31 
170,The Marvelous Mrs. Maisel,Comedia Dramatica,14,Prime video,60,4,8 10 8 8 
171,Fargo,Crime,18,Prime video,60,4, 10 10 10 11
172,Familia moderna,Sitcom,12,Star +,22,11,24 24 24 24 24 24 22 22 22 22 18
173,The Haunting of Bly Manor,Drama,16,Netflix,65,1,9
174,The Haunting of Hill House,Terror,16,Netflix,60,1,10
175,Locke e Key,Terror,14,Netflix,45,3,10 10 8
176,Westworld,Ficcao Cientifica,18,HBO Max,60,4,10 10 8 8
177,Silicon Valley,Comedia,16,HBO Max,30,6, 8 10 10 10 8 7
178,Dr. House,Drama Misterio,14,Prime video,45,8,22 24 24 16 24 21 23 22
179,Sex Education,Drama,16,Netflix,55,3,8 8 8
180,Zack & Cody: Gêmeos a Bordo,Sitcom,0,Disney +,25,3,21 28 22
181,The Punisher,Acao,16,Disney +,55,2,13 13
182,Daredevil,Ficcao Cientifica,16,Disney +,50,3,13 13 10
183,House of Cards,Drama,18,Netflix,50,6,13 13 13 13 13 8
184,The Good Doctor,Drama medico,12,Globo Play,45,6,18 18 20 20 18 22
185,Sherlock,Crime,16,Prime video,90,4,3 3 3 3
186,Apenas um Show,Comedia,12,HBO Max,23,8,12 28 39 37 37 30 36 27
187,Lost,Drama,16,Star +,44,6,25 24 23 14 17 18
188,Shameless ,Comedia,16,HBO,44,11,12
189,This is us,Drama,16,Star +,44,6,18
190,Family guy,Sitcom,14,Star +,20,20,23
191,That '70s  show,Sitcom,0,Prime Video,20,8,25
192,Homeland,Policial,16,Star +,46,8,12
193,Better Call Saul,Drama,14,Netflix,44,5,10
194,Os Simpsons,Sticom,0,Star +,20,34,24
195,Solar Opposites,Ficcao cientifica,16,Star,22,3,12
196,Fear The Walking Ddead,Suspense,16,Prime Video,44,6,6 15 16
197,American Horror Stories,Suspense,16,Star +,44,12,12
198,Legion,Acao,14,Netflix,44,3,6
199,Futurama,Sitcom,16,Star +,20,7,20
200,Superman & Lois,Acao/Super Heroi,14,HBO,44,3,15
201,Fleabag,Comedia,16,Prime video,26,2,6
202,invincible,Acao,18,Prime video,45,1,8
203,Big mouth,Comedia,16,Netflix,25,6,10 10 10 10 10 10
204,The end of the f***ing world,Drama,16,Netflix,22,2,8 8
205,Desencanto,Comedia,14,Netflix,30,4,10 10 10 10
206,Avatar: a lenda de Aang,Acao,10,Netflix,25,3,20 20 20
207,Euphoria,Drama,18,Prime Video,60,2,8 8 
208,The bear,Drama,16,Star +,30,1,8
209,Drama total,Comedia,10,Netflix,22,2,27 27
210,Gilmore Girls:tal mae  tal filha,Drama,12,Netflix,45,4,21 21 21 21
211,Chernobyl,Drama,16,HBO Max,60,1,5
212,Eu  a patroa e as criancas,Comedia,10,Star Plus,21,5,12 28 27 30 26
213,What If...?,Sci-Fi,14,Disney Plus,35,1,9
214,Bob Esponja ,Comedia,0,Prime Video,22,13,20 20 20 20 20 26 26 26 26 11 26 26 26 
215,iCarly,Comedia,10,Paramount Plus,30,7,25 25 20 13 11 6 9
216,Jovem Sheldon,Comedia,12,HBO Max,20,6,22 22 21 18 22 18
217,Sweet Tooth,Drama,14,Netflix,45,2,8 8
218,South Park,Comedia,16,Prime Video,20,26,13 18 17 17 14 17 15 14 14 14 14 14 14 14 14 14 10 10 10 10 10 10 10 2 6 6
219,Black Knight,Acao,16,Netflix,44,1,6
220,Coragem  cao covarde,Comedia,0,HBO Max,22,4,13 13 13 13
221,Manifest,Drama,14,Netflix,42,4,16 13 13 10
222,Outlander,Drama,16,Netflix,60,6,16 13 13 13 12 8
223,Marianne,Terror,16,Netflix,45,1,8
224,My name,Acao,16,Netflix,45,1,8
225,Daybreak,Comedia,16,Netflix,45,1,10
226,Taboo,Drama,16,Netflix,59,1,8
227,Kingdom,Drama,16,Netflix,50,2,6 6
228,All of Us Are Dead,Drama,18,Netflix,66,1,12
229,Profecia do inferno,Policial,18,Netflix,53,1,6
230,The expanse,Ficcao cientifica,16,Prime Video,50,4,10 13 13 10 10 6
231,Mad Men,Drama,16,HBO Max,48,7,13 13 13 13 13 13 14
232,A Batalha dos 100,Reality Show,12,Netflix,60,1,9
233,Mr. Robot,Suspense / Drama,16,Prime Video,50,4,10 12 10 13
234,Sense8,Ficcao cientifica,18,Netflix,55,2,12 12
235,Jornada nas Estrelas: A Nova Geracao,Ficcao cientifica,0,Netflix,44,7,25 22 26 26 26 26 25 
236,CSI: Miami,Acao,14,Paramount +,43,10,24 24 24 25 24 21 25 24 22 19
237,O Rancho,Comedia,14,Netflix,30,4,20 20 20 20 
238,Yellowstone,Drama,18,Paramount +,60,5,9 10 10 10 9
239,Manda Chuva,Comedia,0,HBO Max,30,1,30
240,O Fantastico Jaspion,Acao,14,Prime Video,30,1,46
241,O Rei do Gado,Drama,10,Globoplay,60,1,218
242,Cheias de Charme,Drama,10,Globoplay,44,1,143
243,Irmaos de Guerra,Drama,14,HBO Max,60,1,10
244,Brilhante Victoria,Comedia,10,Nicklodeon,24,4,20 14  13  13
245,Luna nera  ,Drama,14,Netflix,40,1,6
246,Love alarme,Drama,16,Netflix,40,2,8  6
247,Rainha charlote,Drama,16,Netflix,50,1,6
248,Veep ,Comedia/Politica,12,HBO,30,7,8  10  10  10  10  10  7
249,Lovecraft Country,Drama/Terror,16,HBO,50,1,10
250,Sam  & cat,Comedia,10,Nicklodeon,24,1,24
251,Girl from nowhere,Suspence,16,Netflix,40,2,13 
252,Upload,Ficcao,16,Amazon Prime,30,2,10 7
253,Os Aneis de Poder,Ficcao,16,Amazon Prime,60,1,4
254,Big time Rush,Comedia,16,Nicklodeon,23,4,20 29 12 13
255,It´s okay not to be okay,Comedia,12,Netflix,70,1,16
256,moon knigth,Acao/Aventura,12,Disney+,44,1,6
257,Mila no multiverso,Comedia,10,Disney+,212,1,8
258,ms. Marvel,Acao/Aventura,12,Disney+,47,1,6
259,shadowhunters,Ficcao,14,Netflix,40,4,13 20 10 12
